design,design_hybrid_06_abucnasty,design_hybrid_05_thaeln_abucnasty,design_hybrid_04_thaeln_abucnasty,design_hybrid_03_thaeln_abucnasty,design_hybrid_01_abucnasty,design_35_henryjk,design_27_geist_fixed,design_18_lady_meyneth,design_14_abucnasty,design_12_phlap,design_08_lady_meyneth,design_01_undertow,design_00_baseline
burner_inserter_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_express_underground_belt_to_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_express_underground_belt_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_express_underground_belt_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_fast_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_steel_chest,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_steel_chest_to_steel_chest,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_steel_chest_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_stone_furnace_undefined,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_stone_furnace_undefined_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_stone_furnace_undefined_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_stone_furnace_undefined_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_stone_furnace_undefined_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_stone_furnace_undefined_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_splitter,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
