entity,00_baseline,01_geist,02_geist,03_swiftdeath007,04_goirelandbrad,05_flexime,06_mulain,07_rydberg,08_derantrix,09_azhrei,10_thaeln,11_thaeln,13_yuu,14_redphoenixq,15_yoyonas,16_teaz,17_akaravortex,18_akaravortex,19_akaravortex,20_groot_opperhoofd,21_em,22_warbaque,23_warbaque,24_syvkal,25_mcmayhem57,26_galacta487,27_theflyingcurryfish154,28_erichteia,29_the_end
inserter_all_from_car_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
inserter_all_from_car_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon,320,0,0,0,0,32,64,64,0,64,0,0,252,0,0,0,0,0,0,0,0,0,0,196,112,0,0,0,0
inserter_all_from_cargo_wagon_circuit_enabled,0,0,0,0,0,32,64,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,192,32,0,0,0,0
inserter_all_from_cargo_wagon_circuit_set_filters,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_assembling_machine_3_rail,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_assembling_machine_3_rail_circuit_set_filters,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_cryogenic_plant_plastic_bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
inserter_all_from_cargo_wagon_to_electric_furnace,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,64,0,0,0,0,16,32,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,84,44,0,0,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,16,32,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,84,16,0,0,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_productivity_module,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0
inserter_all_from_cargo_wagon_to_electromagnetic_plant_productivity_module_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
inserter_all_from_cargo_wagon_to_turbo_transport_belt,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar,16,0,24,0,0,0,0,0,40,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0
inserter_all_from_chemical_plant_plastic_bar_circuit_enabled,0,0,24,0,0,0,0,0,40,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0
inserter_all_from_chemical_plant_plastic_bar_to_cargo_wagon,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,0,0,24,0,0,0,0,0,40,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,24,0,0,0,0,0,40,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0
inserter_all_from_chest,161,57,37,1,1,105,33,33,49,83,37,37,135,17,5,1,17,33,1,1,49,1,1,127,57,1,49,73,43
inserter_all_from_chest_circuit_enabled,0,56,36,0,0,56,32,32,48,82,24,24,0,16,4,0,16,32,0,0,48,0,0,124,16,0,48,40,42
inserter_all_from_chest_circuit_set_filters,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar,0,32,12,48,16,32,32,32,0,32,20,20,20,16,14,52,40,80,40,36,32,32,32,28,28,16,14,32,30
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,0,20,0,48,0,32,32,32,0,32,20,20,0,0,0,52,40,80,40,36,32,32,32,16,16,16,14,24,0
inserter_all_from_cryogenic_plant_plastic_bar_to_cargo_wagon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0
inserter_all_from_cryogenic_plant_plastic_bar_to_cargo_wagon_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0
