entity,design_00_baseline,design_01_undertow,design_02_swiftdeath007,design_03_swiftdeath007,design_04_swiftdeath007,design_05_derantrix,design_06_imp,design_07_osboz,design_08_lady_meyneth,design_09_jobo,design_10_ztirom22,design_11_theflyingcurryfish154,design_12_phlap,design_13_phlap,design_14_abucnasty_Stage_1,design_14_abucnasty_Stage_2,design_14_abucnasty_Stage_3,design_14_abucnasty,design_17_henryjk,design_18_lady_meyneth,design_19_werezwolf,design_20_toda1,design_21_syvkal_STAGE_0,design_21_syvkal_STAGE_1,design_21_syvkal_STAGE_2,design_22_mcmayhem57,design_23_mcmayhem57,design_24_mcmayhem57,design_25_ashtroboy_1,design_25_ashtroboy_Paste_after_sulfur_rounds_corner_and_imediatly_after_lamp_blinks,design_25_ashtroboy_Final_State_(Only_for_comparison_will_not_work),design_26_mrcooki4,design_27_geist_fixed,design_28_geist,design_29_geist,design_30_reja,design_31_minebuilder,design_32_reja,design_33_syvkal_STAGE_0,design_33_syvkal_STAGE_1,design_33_syvkal_STAGE_2,design_34_osboz,design_35_henryjk,design_hybrid_01_abucnasty,design_hybrid_03_thaeln_abucnasty,design_hybrid_04_thaeln_abucnasty,design_hybrid_05_thaeln_abucnasty_Stage_1,design_hybrid_05_thaeln_abucnasty,design_hybrid_06_abucnasty
burner_inserter_from_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_building,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_building_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_plastic_bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_plastic_bar_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_sulfur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_sulfur_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_sulfur_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chemical_plant_sulfur_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_to_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0
