design,29_the_end,28_erichteia,27_theflyingcurryfish154,19_akaravortex,11_thaeln,10_thaeln,07_rydberg,06_mulain,02_geist
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,102,0,0,0,0,0,48
inserter_all_from_foundry_casting_copper_cable_to_steel_chest,0,0,0,0,0,0,0,0,12
inserter_all_from_foundry_casting_copper_cable_to_steel_chest_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_cable_to_underground_input,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_to_electromagnetic_plant_copper_cable,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_copper_to_electromagnetic_plant_copper_cable_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_iron,42,24,34,40,32,32,24,40,48
inserter_all_from_foundry_casting_iron_circuit_enabled,0,0,34,0,0,0,0,24,48
inserter_all_from_foundry_casting_iron_stick,28,56,32,32,28,28,32,32,28
inserter_all_from_foundry_casting_iron_stick_circuit_enabled,0,56,32,32,20,24,32,28,28
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,28,56,32,32,28,28,32,32,28
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail_circuit_enabled,0,56,32,32,20,24,32,28,28
inserter_all_from_foundry_casting_iron_stick_to_cargo_wagon,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,42,24,34,40,32,32,24,40,48
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,34,0,0,0,0,24,48
inserter_all_from_foundry_casting_iron_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_iron_to_underground_output,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_steel,46,72,72,52,48,48,48,48,52
inserter_all_from_foundry_casting_steel_circuit_enabled,0,72,72,52,40,44,48,48,52
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,18,16,40,20,20,20,16,16,24
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace_circuit_enabled,0,16,40,20,20,20,16,16,24
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail,28,56,32,32,28,28,32,32,28
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail_circuit_enabled,0,56,32,32,20,24,32,32,28
inserter_all_from_foundry_casting_steel_to_cargo_wagon,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_casting_steel_to_underground_input,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_set_recipe,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_set_recipe_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_set_recipe_to_assembling_machine_3_rail,0,0,0,0,0,0,0,0,0
inserter_all_from_foundry_set_recipe_to_assembling_machine_3_rail_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_infinity_chest,1,1,1,1,1,1,1,1,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1,1,1,1,1,1,1,1,1
inserter_all_from_steel_chest,0,72,48,0,36,36,0,0,36
inserter_all_from_steel_chest_circuit_enabled,0,40,48,0,24,24,0,0,36
inserter_all_from_steel_chest_to_assembling_machine_3_electric_furnace,0,16,20,0,0,0,0,0,0
inserter_all_from_steel_chest_to_assembling_machine_3_electric_furnace_circuit_enabled,0,16,20,0,0,0,0,0,0
inserter_all_from_steel_chest_to_assembling_machine_3_production_science_pack,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_assembling_machine_3_production_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit,0,16,0,0,12,12,0,0,24
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,8,0,0,12,12,0,0,24
inserter_all_from_steel_chest_to_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_electromagnetic_plant_electronic_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_steel_chest_to_electromagnetic_plant_productivity_module,0,16,28,0,12,12,0,0,12
inserter_all_from_steel_chest_to_electromagnetic_plant_productivity_module_circuit_enabled,0,16,28,0,12,12,0,0,12
inserter_all_from_steel_chest_to_steel_chest,0,24,0,0,12,12,0,0,0
inserter_all_from_turbo_splitter,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_splitter_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_splitter_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_splitter_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt,80,160,28,36,97,93,80,10,76
inserter_all_from_turbo_transport_belt_circuit_enabled,72,112,20,24,76,76,72,0,56
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace,0,0,0,0,20,20,48,0,0
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace_circuit_enabled,0,0,0,0,20,20,48,0,0
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,56,112,0,24,56,56,8,0,56
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,56,112,0,24,56,56,8,0,56
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_rail,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_rail_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_cargo_wagon,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_chemical_plant_plastic_bar,0,16,20,0,8,8,0,0,8
inserter_all_from_turbo_transport_belt_to_chemical_plant_plastic_bar_circuit_enabled,0,0,20,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,16,24,0,4,4,0,0,0,0
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar_circuit_enabled,16,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_electric_furnace,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_electric_furnace_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_electronic_circuit,0,0,0,0,0,0,0,0,0
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_productivity_module,0,0,0,0,0,0,16,0,0
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_productivity_module_circuit_enabled,0,0,0,0,0,0,16,0,0
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2,2,2,2,2,2,2,2,2
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,6,6,6,6,7,7,6,8,10
inserter_all_from_underground_input,0,0,35,32,2,8,40,56,12
