metric,property,correlation,strength,range,impact
entity_update,inserter_all_from_electromagnetic_plant_copper_cable_to_cargo_wagon,0.7238424566357413,0.7238424566357413,High,increase
entity_update,stack_inserter_from_electromagnetic_plant_copper_cable_to_cargo_wagon,0.7238424566357413,0.7238424566357413,High,increase
electric_heat_fluid_circuit_update,assembling_machine_3,0.7227537912075922,0.7227537912075922,High,increase
entity_update,inserter_all_to_belt,0.7214689781505293,0.7214689781505293,High,increase
entity_update,stack_inserter_to_belt,0.7214689781505293,0.7214689781505293,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,0.71880358382539,0.71880358382539,High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,0.71880358382539,0.71880358382539,High,increase
transport_lines_update,turbo_splitter,0.7123850381855747,0.7123850381855747,High,increase
fluid_flow_update,electromagnetic_plant,0.7119595477922608,0.7119595477922608,High,increase
entity_update,inserter_all_from_underground_input_to_electromagnetic_plant_productivity_module,0.7098671404398977,0.7098671404398977,High,increase
entity_update,stack_inserter_from_underground_input_to_electromagnetic_plant_productivity_module,0.7098671404398977,0.7098671404398977,High,increase
whole_update,inserter_all_from_electromagnetic_plant_copper_cable_to_cargo_wagon,0.7088935289290406,0.7088935289290406,High,increase
whole_update,stack_inserter_from_electromagnetic_plant_copper_cable_to_cargo_wagon,0.7088935289290406,0.7088935289290406,High,increase
fluid_flow_update,beacon,0.7086287052932742,0.7086287052932742,High,increase
fluid_flow_update,inserter_all_to_assembling_machine_3_electric_furnace,0.7081228706967853,0.7081228706967853,High,increase
fluid_flow_update,stack_inserter_to_assembling_machine_3_electric_furnace,0.7081228706967853,0.7081228706967853,High,increase
electric_network_update,recipe_electronic_circuit,0.7074668177058524,0.7074668177058524,High,increase
whole_update,inserter_all_to_belt,0.7067426619316255,0.7067426619316255,High,increase
whole_update,stack_inserter_to_belt,0.7067426619316255,0.7067426619316255,High,increase
fluid_flow_update,oil_refinery,0.7021617492900781,0.7021617492900781,High,increase
