number_of_miners,mining_prod_level,beacon_1,beacon_2,beacon_3,rate_Q2,rate_Q1,rate_Q3,rate_Q4,rate_Q5,rate_voided
1,315,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.03,377.99,6,0.6,0.07,384.66
2,315,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.07,755.97,12.01,1.2,0.13,769.31
1,316,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.02,350.12,6,0.6,0.07,356.79
2,316,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.04,700.24,12,1.2,0.13,713.57
1,317,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.07,410.03,6.01,0.6,0.07,416.71
2,317,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.15,820.05,12.01,1.2,0.13,833.39
1,318,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.05,539.86,6.01,0.6,0.07,546.54
2,318,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,,120.1,1079.72,12.01,1.2,0.13,1093.06
1,320,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,60.03,325.64,6,0.6,0.07,332.31
2,320,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,,120.05,651.27,12.01,1.2,0.13,664.61
1,321,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,60.08,325.94,6.01,0.6,0.07,332.62
2,321,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,120.17,651.88,12.02,1.2,0.13,665.23
1,324,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,60.01,600.15,6,0.6,0.07,606.82
2,324,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.03,1200.3,12,1.2,0.13,1213.63
1,330,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,,60.03,600.28,6,0.6,0.07,606.95
1,330,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,60.07,674.82,6.01,0.6,0.07,681.5
2,330,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,,120.06,1200.57,12.01,1.2,0.13,1213.91
2,330,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,120.13,1349.64,12.01,1.2,0.13,1362.98
1,331,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,60.11,675.27,6.01,0.6,0.07,681.95
2,331,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,120.21,1350.53,12.02,1.2,0.13,1363.88
1,336,speed-2-Q5|speed-2-Q5,,,60.04,325.72,6,0.6,0.07,332.39
2,336,speed-2-Q5|speed-2-Q5,,,120.09,651.45,12.01,1.2,0.13,664.79
2,337,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,60.16,223.79,6.02,0.6,0.07,230.48
1,345,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,60,674.08,6,0.6,0.07,680.75
2,345,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,120,1348.16,12,1.2,0.13,1361.49
1,348,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.08,325.94,6.01,0.6,0.07,332.62
1,348,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,60.08,674.92,6.01,0.6,0.07,681.6
2,348,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.17,651.88,12.02,1.2,0.13,665.23
2,348,speed-1-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,,120.15,1349.83,12.02,1.2,0.13,1363.18
1,354,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.12,326.15,6.01,0.6,0.07,332.83
2,354,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,120.24,652.29,12.02,1.2,0.13,665.64
1,358,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.05,303.95,6,0.6,0.07,310.62
1,358,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,60.05,767.29,6,0.6,0.07,773.96
2,358,speed-2-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.1,607.9,12.01,1.2,0.13,621.24
1,369,speed-3-Q5|efficiency-3-Q5,,,60.01,303.76,6,0.6,0.07,310.43
2,369,speed-3-Q5|efficiency-3-Q5,,,120.02,607.52,12,1.2,0.13,620.85
1,372,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,60.02,303.83,6,0.6,0.07,310.5
2,372,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,120.05,607.66,12,1.2,0.13,620.99
1,373,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.1,284.67,6.01,0.6,0.07,291.35
2,373,efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.1,223.55,6.01,0.6,0.07,230.23
2,373,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.19,569.33,12.02,1.2,0.13,582.68
1,394,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|speed-3-Q5,60.04,886.38,6,0.6,0.07,893.05
1,396,speed-1-Q5|speed-1-Q5,,,60.14,267.3,6.01,0.6,0.07,273.98
2,396,speed-1-Q5|speed-1-Q5,,,120.29,534.6,12.03,1.2,0.13,547.96
1,398,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,,60.03,284.34,6,0.6,0.07,291.01
2,398,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,,120.05,568.68,12.01,1.2,0.13,582.02
1,414,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.04,284.38,6,0.6,0.07,291.05
2,414,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.07,568.77,12.01,1.2,0.13,582.11
1,428,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-3-Q5|speed-3-Q5,60.06,1045.44,6.01,0.6,0.07,1052.12
1,436,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,60.08,267,6.01,0.6,0.07,273.68
2,436,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,120.15,534,12.02,1.2,0.13,547.35
1,442,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.07,266.99,6.01,0.6,0.07,273.67
2,442,speed-2-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.15,533.98,12.01,1.2,0.13,547.32
1,444,speed-1-Q5|speed-3-Q5,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-3-Q5,60.05,1045.39,6.01,0.6,0.07,1052.07
1,467,speed-2-Q5|efficiency-3-Q5,,,60.05,251.01,6.01,0.6,0.07,257.69
2,467,speed-2-Q5|efficiency-3-Q5,,,120.1,502.01,12.01,1.2,0.13,515.35
1,480,speed-1-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.07,251.1,6.01,0.6,0.07,257.78
2,480,speed-1-Q5|efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.15,502.2,12.01,1.2,0.13,515.54
1,487,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,,60,250.78,6,0.6,0.07,257.45
2,488,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,,120.23,502.57,12.02,1.2,0.13,515.92
1,533,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.1,236.75,6.01,0.6,0.07,243.43
2,533,speed-1-Q5|efficiency-3-Q5,speed-1-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.19,473.49,12.02,1.2,0.13,486.84
1,563,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,60.03,236.46,6,0.6,0.07,243.13
2,563,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,,120.05,472.93,12.01,1.2,0.13,486.27
1,583,speed-1-Q5|efficiency-3-Q5,,,60.07,236.65,6.01,0.6,0.07,243.33
2,583,speed-1-Q5|efficiency-3-Q5,,,120.15,473.3,12.01,1.2,0.13,486.64
1,601,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.07,978.32,12.01,1.2,0.13,991.66
1,605,speed-3-Q5|speed-3-Q5,speed-3-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.11,819.78,12.01,1.2,0.13,833.12
1,605,speed-2-Q5|speed-3-Q5,,,120.19,756.76,12.02,1.2,0.13,770.11
1,616,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,,120.09,819.69,12.01,1.2,0.13,833.03
1,616,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.11,893.11,12.01,1.2,0.13,906.45
1,619,speed-3-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,120.13,893.3,12.01,1.2,0.13,906.64
1,620,speed-2-Q5|speed-3-Q5,speed-2-Q5|efficiency-3-Q5,,120.15,756.53,12.02,1.2,0.13,769.88
1,622,speed-3-Q5|speed-3-Q5,,,120.11,978.68,12.01,1.2,0.13,992.02
1,625,speed-2-Q5|speed-3-Q5,speed-3-Q5|speed-2-Q5,speed-2-Q5|efficiency-3-Q5,120.04,1079.15,12,1.2,0.13,1092.48
1,628,speed-2-Q5|speed-3-Q5,speed-2-Q5|speed-2-Q5,,120.05,978.18,12,1.2,0.13,991.51
1,631,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,120.04,700.22,12,1.2,0.13,713.55
2,631,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,,240.08,1400.45,24.01,2.4,0.27,1427.13
1,633,speed-3-Q5|speed-3-Q5,speed-1-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.12,978.79,12.01,1.2,0.13,992.13
1,636,efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,60.02,236.46,6,0.6,0.07,243.13
1,636,speed-1-Q5|speed-3-Q5,,,120.05,700.28,12,1.2,0.13,713.61
2,636,efficiency-3-Q5,speed-2-Q5|efficiency-3-Q5,efficiency-3-Q5|efficiency-3-Q5,120.05,472.91,12,1.2,0.13,486.24
2,636,speed-1-Q5|speed-3-Q5,,,240.09,1400.55,24.01,2.4,0.27,1427.23
1,639,speed-2-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,speed-3-Q5|efficiency-3-Q5,120.07,755.97,12.01,1.2,0.13,769.31
